Distanza,Intensità,errore1,errore2
0.022,1.68,0.001,0.01
0.041,1.72,0.001,0.01
0.066,1.82,0.001,0.01
0.097,1.88,0.001,0.01
0.118,1.92,0.001,0.01
0.135,1.92,0.001,0.01
0.163,1.94,0.001,0.01
0.179,1.9,0.001,0.01
0.197,1.9,0.001,0.01
0.22,1.92,0.001,0.01
0.241,1.88,0.001,0.01
0.263,1.82,0.001,0.01
0.286,1.74,0.001,0.01
0.313,1.66,0.001,0.01
0.335,1.58,0.001,0.01
0.366,1.52,0.001,0.01
0.393,1.5,0.001,0.01
0.416,1.44,0.001,0.01
0.433,1.38,0.001,0.01
0.455,1.3,0.001,0.01
0.471,1.22,0.001,0.01
0.495,1.1,0.001,0.01
